tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
27/5/2025,Z25001250,SBY,MAJU22,QPOP01,39,Btl,RA2RNS0965,1/7/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001251,BWI-1,LANG01,QMELO11,6,Pack,240052511,7/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001252,JLS,MERD01,QQIUV13,20,Pack,1002202511,1/2/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001252,JLS,MERD01,QQIUV14,200,Pack,902202502,1/2/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001253,JLS,ENGG02,QTIMU29,60,Pack,271052574,21/11/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001254,MLG,ALIM01,QGAND02,24,Pack,1529,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001254,MLG,ALIM01,QBENA01,25,Kg,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001255,BWI-1,LANG01,QJAGU29,20,Pack,20228312,18/2/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001256,JLS,ENGG02,QKNO303,300,Pack,0,1/12/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001256,JLS,ENGG02,QKNO301,300,Pack,0,1/1/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001256,JLS,ENGG02,QMKP01,400,Pack,0,1/5/2028,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001257,BWI-3,MUTI01,QBRAV03,16,Btl,50520214,1/5/2030,1,1,1,"2025-05-27 12:00:06"
27/5/2025,Z25001258,BWI-2,MITR11,QBENA01,1250,Kg,0,1/1/1000,1,1,1,"2025-05-27 12:00:06"
