tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
12/3/2026,26000221B,QJAGU17,"Jagung Pertiwi 3 20 X 1 kg",1/2/2027,1306,DO-S/2026/02166,14/03/2026,1
12/3/2026,26000221B,QJAGU17,"Jagung Pertiwi 3 20 X 1 kg",1/2/2027,3694,DO-S/2026/02166,14/03/2026,1
2/2/2026,26000222,QLOYA01,"Loyant 25 EC 20 X 500 ml",1/11/2028,6180,80966597,14/03/2026,1
12/3/2026,26000222B,QJAGU52,"Jagung Pertiwi 5 20 X 1 kg",1/2/2027,586,DO-S/2026/02165,14/03/2026,1
12/3/2026,26000222B,QJAGU52,"Jagung Pertiwi 5 20 X 1 kg",1/2/2027,414,DO-S/2026/02165,14/03/2026,1
2/2/2026,26000223,QBEST06,"Bestar 200 SL 20 X 1 ltr",1/1/2031,1800,DO/0001/0126/0896,14/03/2026,1
2/2/2026,26000223,QGIBA02,"Gibas 240 SL 4 X 5 ltr*",1/12/2030,160,DO/0001/0126/0896,14/03/2026,1
2/2/2026,26000223,QBEST06,"Bestar 200 SL 20 X 1 ltr",1/1/2031,400,DO/0001/0126/0896,14/03/2026,1
2/2/2026,26000223,QBEST06,"Bestar 200 SL 20 X 1 ltr",1/1/2031,2800,DO/0001/0126/0896,14/03/2026,1
12/3/2026,26000223B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",2/3/2027,15260,851013457,14/03/2026,1
12/3/2026,26000223B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",26/2/2027,740,851013457,14/03/2026,1
3/2/2026,26000224,QEMAC03,"Emacel 30 EC 20 X 500 ml*",1/12/2028,5000,8924837544,14/03/2026,1
12/3/2026,26000224B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,7060,851013437,14/03/2026,1
12/3/2026,26000224B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",8/3/2027,8940,851013437,14/03/2026,1
3/2/2026,26000225,QPRIM31,"Prima-Kuat 276 SL 4 X 5 ltr*",1/1/2031,1000,8SA2600325,14/03/2026,1
3/2/2026,26000225,QPRIM35,"Prima-Best 150 SL 20 X 1 ltr",1/12/2030,1000,8SA2600325,14/03/2026,1
12/3/2026,26000225B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",26/2/2027,16000,851013444,14/03/2026,1
12/3/2026,26000226B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,1100,SYN-KIU1203,14/03/2026,1
12/3/2026,26000226B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,4800,SYN-KIU1203,14/03/2026,1
12/3/2026,26000226B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,5000,SYN-KIU1203,14/03/2026,1
12/3/2026,26000226B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,5100,SYN-KIU1203,14/03/2026,1
3/2/2026,26000226k,QZESS01,"Zessnoit 60 WP 100 X 100 gr",1/4/2029,3000,014/BBL/TTB/I/2026,14/03/2026,1
3/2/2026,26000227,QMUTU02,"Mutual 25/25 WP 40 X 250 gr*",1/9/2030,400,014/BBL/TTB/I/2026,14/03/2026,1
3/2/2026,26000227A,QMUTU01,"Mutual 25/25 WP 100 X 100 gr*",1/3/2030,5000,014/BBL/TTB/I/2026,14/03/2026,1
3/2/2026,26000227A,QMUTU02,"Mutual 25/25 WP 40 X 250 gr*",1/9/2030,4000,014/BBL/TTB/I/2026,14/03/2026,1
12/3/2026,26000227B,QJAGU29,"Jagung NK 7328 20 X 1 kg",16/2/2027,2780,851010871,14/03/2026,1
12/3/2026,26000227B,QJAGU29,"Jagung NK 7328 20 X 1 kg",16/2/2027,60,851010871,14/03/2026,1
12/3/2026,26000227B,QJAGU29,"Jagung NK 7328 20 X 1 kg",1/3/2027,13160,851010871,14/03/2026,1
3/2/2026,26000228,QBAME03,"Bamex 18 EC 20 X 200 ml (M2U)",1/1/2029,500,2601022,14/03/2026,1
3/2/2026,26000228,QBAME01,"Bamex 18 EC 100 X 50 ml (M2U)",1/1/2029,500,2601022,14/03/2026,1
3/2/2026,26000228,QBAME04,"Bamex 18 EC 50 X 100 ml (M2U)",1/1/2029,1350,2601022,14/03/2026,1
3/2/2026,26000228A,QSARU02,"Sarung Atlas",1/1/1000,258,2601022,14/03/2026,1
12/3/2026,26000228B,QJAGU112,"Jagung P27 Lumigen 20 X 1 kg",18/11/2026,1462,PS000669,14/03/2026,1
12/3/2026,26000228B,QJAGU112,"Jagung P27 Lumigen 20 X 1 kg",18/11/2026,8538,PS000669,14/03/2026,1
3/2/2026,26000229,QTIEZ02,"Tiezene 80 WP 40 X 500 gr",1/1/2029,1200,"AJL/I/2026/029 SHIP TO FAST",14/03/2026,1
13/3/2026,26000229B,QJAGU29,"Jagung NK 7328 20 X 1 kg",1/3/2027,8000,851014600,14/03/2026,1
3/2/2026,26000230,QMKP01,"MKP 20 X 1 kg",1/1/2029,13000,S/2601/93637,14/03/2026,1
13/3/2026,26000230B,QJAGU29,"Jagung NK 7328 20 X 1 kg",6/3/2027,16000,851014604,14/03/2026,1
3/2/2026,26000231,QZNUR01,"ZNURECOTE 50 kg  ",1/1/2029,148,S/2601/93302,14/03/2026,1
13/3/2026,26000231B,QJAGU13,"Jagung NK 212 20 X 1 kg",16/2/2027,60,851014531,14/03/2026,1
13/3/2026,26000231B,QJAGU13,"Jagung NK 212 20 X 1 kg",5/3/2027,10880,851014531,14/03/2026,1
13/3/2026,26000231B,QJAGU13,"Jagung NK 212 20 X 1 kg",5/3/2027,5060,851014531,14/03/2026,1
3/2/2026,26000232,QAVID01,"Avidor 25 WP 4 X 25 X 100 gr",1/1/2031,40000,P/2512/34355,14/03/2026,1
13/3/2026,26000232B,QJAGU29,"Jagung NK 7328 20 X 1 kg",1/3/2027,2640,851014603,14/03/2026,1
13/3/2026,26000232B,QJAGU29,"Jagung NK 7328 20 X 1 kg",8/3/2027,7040,851014603,14/03/2026,1
13/3/2026,26000232B,QJAGU29,"Jagung NK 7328 20 X 1 kg",6/3/2027,6320,851014603,14/03/2026,1
3/2/2026,26000233,QKNO301,"KNO3 Merah P Tani 15 X 2 kg",1/1/2029,3735,S/2601/93596,14/03/2026,1
13/3/2026,26000233B,QMELO26,"Melon Amanda Tavi F1 20 X 10 X 550 biji",4/9/2027,5552,1152024347,14/03/2026,1
13/3/2026,26000233B,QMELO26,"Melon Amanda Tavi F1 20 X 10 X 550 biji",5/9/2027,9448,1152024347,14/03/2026,1
3/2/2026,26000234,QBLAS01,"Blast 200 SC 20 X 500 ml",1/12/2029,3060,SH02A-260100078,14/03/2026,1
13/3/2026,26000234B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,40,851015055,14/03/2026,1
13/3/2026,26000234B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,60,851015055,14/03/2026,1
13/3/2026,26000234B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,260,851015055,14/03/2026,1
13/3/2026,26000234B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",6/3/2027,15640,851015055,14/03/2026,1
3/2/2026,26000235,QNATI02,"Nativo 75 WG 100 X 50 gr",1/1/2029,50000,6128067143,14/03/2026,1
13/3/2026,26000235B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",5/3/2027,2260,851015025,14/03/2026,1
13/3/2026,26000235B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",2/3/2027,2060,851015025,14/03/2026,1
13/3/2026,26000235B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",2/3/2027,11680,851015025,14/03/2026,1
3/2/2026,26000236,QETHR02,"Ethrel 480 SL 100 X 100 ml",1/1/2031,10000,6128067123,14/03/2026,1
3/2/2026,26000237,QGALL23,"Gallery 403 SL 10 X 1 ltr + SG.05 100 gr",1/1/2030,500,2601032,14/03/2026,1
