id;kd_do;kode_barang;kd_faktur;tgl_transaksi;nama_barang;expired_date;qty;qty_pcs;qty_box;no_lot;exp_date
103;KD103;QAMPA03;D26009837;2026-07-02;Ampang 240 SL 4 X 5 ltr;2030-11-01;2;2;0;4;2030-11-01
104;KD104;QAMPA03;D26009837;2026-07-02;Ampang 240 SL 4 X 5 ltr;2031-02-01;8;0;2;4;2031-02-01
105;KD105;QAMPA03;D26009837;2026-07-02;Ampang 240 SL 4 X 5 ltr;2031-02-01;104;0;26;4;2031-02-01
106;KD106;QSAGR05;D26009838;2026-07-02;Sagri-Meth 77 SP 100 X 100 gr;2028-11-01;100;0;1;100;2028-11-01
107;KD107;QROUN04;D26009842;2026-07-02;Round Up 486 SL 50 X 200 ml;2031-05-01;5000;0;100;50;2031-05-01
108;KD108;QALGO01;D26009842;2026-07-02;Algojo 200/10/15 OD 20 X 500 ml;2030-03-01;300;0;15;20;2030-03-01
109;KD109;QRUBO02;D26009843;2026-07-02;Rubost 40 X 200 ml;2031-05-01;120;0;3;40;2031-05-01
110;KD110;QASSO01;T26000724;2026-07-02;Associate 200 SC 20 X 250 ml;2027-08-01;140;0;7;20;2027-08-01
111;KD111;QMUL137;B26008552;2026-07-03;Mulsa Ori Gajah 0.3 60 cm X 18 kg (Roll) + Kaos;1000-01-01;5;5;0;1;1000-01-01
112;KD112;QJAGU81;B26008553;2026-07-03;Jagung Manis Panglima F1 40 X 1750 biji;2027-03-01;200;0;5;40;2027-03-01
113;KD113;QLOGA07;B26008558;2026-07-03;Logamate 440 EC 40 x 250 ml;2030-11-01;160;0;4;40;2030-11-01
114;KD114;QLOGA03;B26008558;2026-07-03;Logamate 440 EC 20 X 500 ml;2030-11-01;20;0;1;20;2030-11-01
115;KD115;QAGRO02;B26008558;2026-07-03;Agrogibb 40 SL 30 X 15 X 35 ml;2031-04-01;75;75;0;450;2031-04-01
116;KD116;QKUBI03;B26008563;2026-07-03;Kubis Green Nova 100 X 10 X 20 ml;2027-11-01;30;30;0;1000;2027-11-01
117;KD117;QGRAN04;B26008564;2026-07-03;Grandally 25 WP 5 gr;1000-01-01;60;60;0;1;1000-01-01
118;KD118;QPAPA01;B26008564;2026-07-03;Papandayan 486 SL 20 X 1 ltr;2030-11-01;60;0;3;20;2030-11-01
119;KD119;QBENA01;B26008567;2026-07-03;Benang Pe mlg;1000-01-01;50;50;0;1;1000-01-01
120;KD120;QKARI03;B26008567;2026-07-03;Karissnail 6 PL 50 X 200 gr (M2U);2029-04-01;50;0;1;50;2029-04-01
121;KD121;QSMK31;B26008568;2026-07-03;Smk. Big Maduri F1 12 X 10 X 20 gr;2027-06-23;50;50;0;120;2027-06-23
122;KD122;QJAGU81;B26008569;2026-07-03;Jagung Manis Panglima F1 40 X 1750 biji;2027-03-01;40;0;1;40;2027-03-01
123;KD123;QSMK31;B26008573;2026-07-03;Smk. Big Maduri F1 12 X 10 X 20 gr;2027-06-23;120;0;1;120;2027-06-23
124;KD124;QJAGU81;B26008574;2026-07-03;Jagung Manis Panglima F1 40 X 1750 biji;2027-03-01;200;0;5;40;2027-03-01
125;KD125;QJAGU81;B26008575;2026-07-03;Jagung Manis Panglima F1 40 X 1750 biji;2027-03-01;200;0;5;40;2027-03-01
126;KD126;QSMK24;B26008577;2026-07-03;Smk. Madrid F1 12 X 10 X 20 gr;2027-09-20;120;0;1;120;2027-09-20
127;KD127;QPOLY41;B26008578;2026-07-03;Polybag Alpen 10/20 X 40 cm - 25 X 1 kg;1000-01-01;12;12;0;25;1000-01-01
128;KD128;QQIUA04;B26008578;2026-07-03;Qiuasri Bawang 20 X 1 ltr;2027-04-01;20;0;1;20;2027-04-01
129;KD129;QQIUA02;B26008578;2026-07-03;Qiuasri Jeruk 20 X 1 ltr;2028-05-01;20;0;1;20;2028-05-01
130;KD130;QGOAL03;D26009858;2026-07-03;Goal 240 EC 50 X 100 ml + kaos;2031-02-01;50;0;1;50;2031-02-01
131;KD131;QNPKN02;D26009861;2026-07-03;NPK Novatec 12-12-17 25 kg;2030-02-01;5;5;0;1;2030-02-01
132;KD132;QKARI03;D26009861;2026-07-03;Karissnail 6 PL 50 X 200 gr (M2U);2029-04-01;50;0;1;50;2029-04-01
133;KD133;QAGUS02;D26009862;2026-07-03;Agus 500 SC 40 X 250 ml;2029-04-01;10;10;0;40;2029-04-01
134;KD134;QGIBG04;D26009867;2026-07-03;Gibgro 20 T 25 X 10 X 5 gr;2031-06-01;50;50;0;250;2031-06-01
135;KD135;QJAGU81;D26009870;2026-07-03;Jagung Manis Panglima F1 40 X 1750 biji;2027-03-01;120;0;3;40;2027-03-01
136;KD136;QMEGA09;Z26001841;2026-07-03;Megaxone 135 SL 20 X 1 ltr;2030-08-01;1000;0;50;20;2030-08-01
137;KD137;QGAND02;B26008581;2026-07-04;Gandasil B 24 X 500 gr;2029-04-01;360;0;15;24;2029-04-01
138;KD138;QBIOC11;B26008583;2026-07-04;Biochems Vit B1+B6 40 X 250 ml;2030-12-01;40;0;1;40;2030-12-01
139;KD139;QMAES02;B26008592;2026-07-04;Maestro 200 EC 20 X 500 ml;2031-02-01;200;0;10;20;2031-02-01
140;KD140;QAGIL02;B26008593;2026-07-04;Agil 100 EC 40 X 250 ml;2027-06-01;240;0;6;40;2027-06-01
141;KD141;QJAGU17;B26008594;2026-07-04;Jagung Pertiwi 3 20 X 1 kg;2027-04-01;20;0;1;20;2027-04-01
