Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="ASAWI01"	Sawi Dora 12 X 15 X 25 gr*	0	0	12	15	1	36.1	Pack	BENIH01	Benih Citra Asia, PT	Benih Horti	Benih Sawi Mie	No Group	Sawi Dora	OP	C	470
="ASAWI02"	Sawi TM Emerald 10 X 10 gr	0	0	10	1	1	0	Pack	TANIM01	Tani Murni	Benih Horti	Benih Sawi	No Group				2037
="ASAWI03"	Sawi Putih Tropical Delight 10 gr	0	0	1	1	1	0	Pack	ERATA01	Era Tani, PT	Benih Horti	Benih Sawi	No Group				1913
="ASAWI04"	Sawi 32 - 25 gr	0	0	1	1	1	0	Pack	MUTUP01	Mutu Prima Sejati, PT	Benih Horti	Benih Sawi	No Group				2027
="ASAWI05"	Sawi Majapahit 12 X 15 X 25 gr*	0	0	12	15	1	35.2	Pack	BENIH01	Benih Citra Asia, PT	Benih Horti	Benih Sawi Mie	Sawi Majapahit		OP	C	2032
="ASAWI06"	Sawi Christina 20 X 10 X 25 gr	0	0	20	10	1	40	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	Sawi Christina		OP		471
="ASAWI07"	Sawi Delli CR 20 X 10 X 10 gr	0	0	20	10	1	0	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	SAwi Delli CR				472
="ASAWI08"	Sawi Tosakan 24 X 100 gr	0	0	24	1	1	0	Pack	EASTW01	East West Seed Indonesia, PT	Benih Horti	Benih Sawi Mie	No Group		OP		2038
="ASAWI09"	Sawi Pak Choy Green 10 X 20 gr	0	0	10	1	1	0	Pack	TANIM01	Tani Murni	Benih Horti	Benih Sawi Mie	Sawi Pak Choy Green				473
="ASAWI10"	Sawi Dora 36 X 100 gr	0	0	36	1	1	0	Pack	BENIH01	Benih Citra Asia, PT	Benih Horti	Benih Sawi Mie	Sawi Dora		OP		474
="ASAWI11"	Sawi Christina Kaleng 90 X 100 gr	0	0	90	1	1	0	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	Sawi Christina		OP		475
="ASAWI12"	Sawi Pak Choy Febiola 15 X 10 gr	0	0	15	1	1	0	Pack	RAJAP01	Raja Pilar Agrotama, PT	Benih Horti	Benih Sawi	No Group				2033
="ASAWI13"	Sawi Putih Jossua 15 X 10 gr	0	0	15	1	1	0	Pack	RAJAP01	Raja Pilar Agrotama, PT	Benih Horti	Benih Sawi Putih	No Group				2034
="ASAWI14"	Sawi Gardena 20 X 12 X 15 gr	0	0	20	12	1	0	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	Sawi Gardena		OP		2029
="ASAWI15"	Sawi Shinta 24 X 100 gr	0	0	24	1	1	0	Pack	EASTW01	East West Seed Indonesia, PT	Benih Horti	Benih Sawi Mie	No Group		OP		2036
="ASAWI16"	Sawi Green Pak Choy 20 X 8 X 50 gr	0	0	20	8	1	0	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	No Group		OP		2030
="ASAWI17"	Sawi Juwita 20 X 15 X 25 gr	0	0	20	15	1	0	Pack	RAJAP01	Raja Pilar Agrotama, PT	Benih Horti	Benih Sawi Mie	No Group				2031
="ASAWI18"	Sawi Sania 15 X 25 gr	0	0	15	1	1	0	Pack	RAJAP01	Raja Pilar Agrotama, PT	Benih Horti	Benih Sawi Putih	No Group				2035
="ASAWI19"	Sawi Pak Choy White 10 X 20 gr	0	0	10	1	1	0	Pack	TAKII01	TakII Seed, PT	Benih Horti	Benih Sawi	Sawi Pak Choy White	Sawi Pak Choy White	OP		476
="ASAWI20"	Sawi Eikun 10 X 20 gr	0	0	10	1	1	0	Pack	TAKII01	TakII Seed, PT	Benih Horti	Benih Sawi Putih	No Group		OP		2028
="ASAWI21"	Sawi Dora Kaleng 40 X 100 gr	0	0	40	1	1	0	Klg	BENIH01	Benih Citra Asia, PT	Benih Horti	Benih Sawi Mie	Sawi Dora		OP		3377
="ASAWI22"	Sawi Gardena 20 X 24 X 15 gr	0	0	20	24	1	16.3	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi Mie	Sawi Gardena		OP		4148
="ASAWI23"	Sawi Deli CR 20 X 12 X 10 gr	0	0	20	12	1	23.5	Pack	BISII01	Bisi International, Tbk	Benih Horti	Benih Sawi	Sawi Deli CR		OP		5136
="ASAWI26"	Sawi Dora 2 gr	0	0	1	1	1	1	Pcs			No Group	No Group	No Group	No Group			7510
="ASCAR01"	Scarf Joint Yamaha	0	0	1	1	1	0	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group				2347
="ASCOR01"	Score 250 EC 40 X 250 ml	0	0	40	1	1	312	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Fungisida	No Group		Difenokonazol		477
="ASCOR02"	Score 250 EC 50 X 80 ml	0	0	50	1	1	110.6	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Fungisida	No Group	Score 250 EC	Difenokonazol		478
="ASCOR03"	Score 250 EC 10 X 20 X 10 ml	0	0	10	20	1	0	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Fungisida	Score 250 EC		Difenokonazol		3246
="ASCRE01"	Screw Cap Yamaha	0	0	1	1	1	110.6	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group				479
="ASEAL01"	Sealing Gasket Yamaha	0	20	1	1	1	110.6	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group	Sealing Gasket Yamaha			480
="ASELA01"	Selang Orange Komplit Star Metal	0	0	1	1	1	110.6	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Spare Part	No Group				481
="ASELA02"	Selang + Kran Pencet Baru (GA)	0	2	1	1	1	110.6	Pcs	GOLDE01	Golden Agin I, PT	Sarana Pertanian	Selang + Kran	No Group	Selang + Kran Pencet Baru (GA)			2039
="ASELA03"	Selang Plastik LDPE 4 cm X 0.20 X ±200 m X ±3kg/roll	0	0	1	1	1	110.6	Kg	SURYA03	Surya Berkah Plastindo, PT	Sarana Pertanian	Selang Plastik	No Group				2041
="ASELA04"	Selang Plastik LDPE 13 cm X 0.30 X ±70 m X ±5kg/roll	0	0	1	1	1	110.6	Kg	SURYA03	Surya Berkah Plastindo, PT	Sarana Pertanian	Selang Plastik	Selang Plastik LDPE				2042
="ASELA05"	Selang YT 4L, 5L, 7L, & 9L	0	0	1	1	1	110.6	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Selang + Kran	Selang YT 4L, 5L, 7L & 9L				482
="ASELA06"	Selang + Pegangan (GA)	0	0	1	1	1	110.6	Pcs	GOLDE01	Golden Agin I, PT	Sarana Pertanian	Spare Part	No Group				2040
="ASELA07"	Selang Orange Komplit+G. Plastik Star Metal	0	35	1	1	1	110.6	Pcs	STARM01	Star Metal Ware Industry, PT	Sarana Pertanian	Spare Part	Selang Orange Komplit Star Metal	Selang Orange Komplit Star Metal			4340
="ASELA08"	Selang Drip 05 X 4 X 90 HTM @0.24kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5992
="ASELA09"	Selang Drip 05 X 4 X 300 HTM @0.8kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5993
="ASELA10"	Selang Drip 010 X 4 X 100 HTM @0.7kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5994
="ASELA11"	Selang Drip 010 X 4 X 200 HTM @1.4kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5995
="ASELA12"	Selang Drip 015 X 4 X 100 HTM @1.2kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5996
="ASELA13"	Selang Drip 015 X 4 X 200 HTM @2.4kg/rol (sample)	0	1	1	1	1	1	Roll	MURNI01	Murni Mapan Makmur, PT	Sarana Pertanian	Selang Plastik	Selang Drip	Selang Drip			5997
="ASELA14"	Selang Sprayer Elektrik Quda Karisma 5 L	0	10	1	1	1	1	Pcs	SARAN04	Sarana Tani Makmur, CV	Sarana Pertanian	Spare Part	Selang Sprayer Elektrik Quda				9275
="ASELE01"	Seledri F1 TM Lambada 800 biji (Sampel)	0	0	1	1	1	1	Pack	TANIM01	Tani Murni	Benih Horti	Benih	Seledri F1 TM Lambada				6081
="ASELT01"	Seltima 100 CS 20 X 500 ml	0	0	20	1	1	0	Btl	BASFI01	BASF Indonesia, PT	Obat	Fungisida	No Group		piraklostrobin		2043
="ASENG01"	Sengtop 535 SL 20 X 1 ltr*	0	0	20	1	1	1342.5	Btl	SINAR01	Sinar General Industries, PT	Obat	Herbisida	Sengtop 545 SL		Glifosat	B	3466
="ASEPA01"	Sepatu Boots Wanly Ukuran 41	0	0	1	1	1	1	Paket	JUNHO01	Jun Hok	Sarana Pertanian	Sepatu Boots	Sepatu Boots Wanly				6014
="ASEPA02"	Sepatu Boots Wanly Ukuran 42	0	0	1	1	1	1	Paket	JUNHO01	Jun Hok	Sarana Pertanian	Sepatu Boots	Sepatu Boots Wanly				6015
="ASEPA03"	Sepatu Boots Wanly Ukuran 43	0	0	1	1	1	1	Paket	JUNHO01	Jun Hok	Sarana Pertanian	Sepatu Boots	Sepatu Boots Wanly				6016
="ASEPE01"	Sepeda Motor Vario 125 Merah	0	0	1	1	1	1	Pcs	FORUM02	Forum Agro Sukses Timur, PT	No Group	No Group	No Group	Sepeda Motor Vario 125 Merah	Sarana Promosi		7046
="ASERE01"	Serendy 28 WP 4 X 20 X 25 gr (Sample)	0	0	4	20	1	1	Pack	NUFAR01	Nufarm Indonesia, PT	No Group	No Group	No Group				6285
="ASEVI01"	Sevin 85 SP 100 X 100 gr (AGR)	0	0	100	1	1	121.5	Pack	AGRIC01	Agricon, PT	Obat	Insektisida	Sevin 85 SP		Karbaril		2044
="ASEVI02"	Sevin 85 SP 100 X 100 gr	0	0	100	1	1	121.5	Pack	AGRIC01	Agricon, PT	Obat	Insektisida	Sevin 85 SP	Sevin 85 SP	Karbaril		2045
="ASEVI03"	Sevin 85 SP 40 X 500 gr	0	0	40	1	1	582.25	Pack	AGRIC01	Agricon, PT	Obat	Insektisida	Sevin 85 SP		Karbaril		2046
="ASG0101"	SG.01 30 X 500 gr (M2U)*	0	0	30	1	1	533	Btl			No Group	No Group	No Group	SG 01			8414
