tgl_inputer,kd_faktur,kd_rute,salesman,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts
30/1/2026,D26001673,KD-2,Zakia,BERK02,QGAND04,"Gandasil D 24 X 500 gr",750,Pack,BN5512,1/12/2028,30763200.000005,30,1,1,1
30/1/2026,D26001674,KD-1,Zakia,PUSA08,QSMK36,"Smk. Non Biji Barcelona 5 X 15 X 20 gr",92,Pack,912300,14/8/2026,45600000,0,1,1,1
30/1/2026,D26001674,KD-1,Zakia,PUSA08,QSMK36,"Smk. Non Biji Barcelona 5 X 15 X 20 gr",148,Pack,912300,14/8/2026,45600000,0,1,1,1
30/1/2026,D26001675,MD-2,Reni,NUAN01,QVIRT02,"Virtako 300 SC 100 X 50 ml",400,Btl,JAK5BS2006,1/2/2028,685874999.99999,60,1,1,1
30/1/2026,D26001675,MD-2,Reni,NUAN01,QVIRT03,"Virtako 300 SC 50 X 100 ml",1250,Btl,JAK5KS2087,1/11/2027,685874999.99999,60,1,1,1
30/1/2026,D26001675,MD-2,Reni,NUAN01,QAMIS02,"Amistartop 325 SC 50 X 100 ml",1250,Btl,JAK5FS1162,1/6/2028,685874999.99999,60,1,1,1
30/1/2026,D26001675,MD-2,Reni,NUAN01,QAMIS01,"Amistartop 325 SC 100 X 50 ml",2500,Btl,JAK5FS1159,1/6/2028,685874999.99999,60,1,1,1
30/1/2026,D26001675,MD-2,Reni,NUAN01,QAMIS03,"Amistartop 325 SC 20 X 250 ml",500,Btl,JAK5HS1221,1/8/2028,685874999.99999,60,1,1,1
30/1/2026,D26001676,MD-2,Reni,NUAN01,QSCOR03,"Score 250 EC 50 X 80 ml",606,Btl,JAK5H23059,1/8/2027,225750000.00002,60,1,1,1
30/1/2026,D26001676,MD-2,Reni,NUAN01,QSCOR03,"Score 250 EC 50 X 80 ml",644,Btl,JAK5H23059,1/8/2027,225750000.00002,60,1,1,1
30/1/2026,D26001676,MD-2,Reni,NUAN01,QSCOR02,"Score 250 EC 40 X 250 ml",1000,Btl,JAK5G25051,1/7/2027,225750000.00002,60,1,1,1
30/1/2026,D26001677,KD-2,Zakia,TANI49,QEM-401,"EM-4 Ternak (LC) 15 X 1 ltr",225,Btl,281225,1/12/2027,5287499.9999865,0,1,1,1
30/1/2026,D26001678,KD-2,Zakia,TANI49,QJAGU63,"Jagung ADV 132 20 X 1 kg",100,Pack,NLK1B1003,29/9/2026,8900000,30,1,1,1
30/1/2026,D26001679,KD-2,Zakia,TANI49,QSCOR03,"Score 250 EC 50 X 80 ml",1000,Btl,JAK5H23059,1/8/2027,224850000.00003,30,1,1,1
30/1/2026,D26001679,KD-2,Zakia,TANI49,QAMIS01,"Amistartop 325 SC 100 X 50 ml",500,Btl,JAK5FS1158,1/6/2028,224850000.00003,30,1,1,1
30/1/2026,D26001679,KD-2,Zakia,TANI49,QAMIS02,"Amistartop 325 SC 50 X 100 ml",1000,Btl,JAK5HS1234,1/8/2028,224850000.00003,30,1,1,1
30/1/2026,D26001679,KD-2,Zakia,TANI49,QAMIS03,"Amistartop 325 SC 20 X 250 ml",100,Btl,JAK5HS1216,1/8/2028,224850000.00003,30,1,1,1
30/1/2026,D26001679,KD-2,Zakia,TANI49,QINSU01,"Insure Max 510 FS 2 X 50 X 25 ml",300,Btl,252LQ02001,1/2/2028,224850000.00003,30,1,1,1
30/1/2026,D26001680,KD-2,Zakia,TANI49,QTHRO04,"Throne 250 EC 48 X 100 ml",144,Btl,3701EE3742,1/9/2029,7200000.0000135,30,1,1,1
